LipidClass,Lipid_Name,tail_length1,tail_length2,saturation_num1,saturation_num2,EmpiricalFormula,mz,mz_13C,ratio_12Cto13C
AsFA,AsFA264,7,NA,0,NA,AsO3C10H21,265.07848886,266.08193557542535,8.645532683856331
AsFA,AsFA278,8,NA,0,NA,AsO3C11H23,279.09413893,280.0975842850666,7.868497663796621
AsFA,AsFA292,9,NA,0,NA,AsO3C12H25,293.109789,294.11323321907264,7.219619520157812
AsFA,AsFA306,10,NA,0,NA,AsO3C13H27,307.12543907,308.1288823261653,6.669608176531421
AsFA,AsFA320,11,NA,0,NA,AsO3C14H29,321.14108914,322.14453156958615,6.197467322101054
AsFA,AsFA334,12,NA,0,NA,AsO3C15H31,335.15673921,336.16018092229723,5.787752908436336
AsFA,AsFA348,13,NA,0,NA,AsO3C16H33,349.17238928,350.1758303639672,5.42885165762317
AsFA,AsFA362,14,NA,0,NA,AsO3C17H35,363.18803935,364.1914798790131,5.111862674687127
AsFA,AsFA376,15,NA,0,NA,AsO3C18H37,377.20368942,378.20712945529095,4.829849258108958
AsFA,AsFA390,16,NA,0,NA,AsO3C19H39,391.21933949,392.2227790831963,4.577325420373318
AsFA,AsFA404,17,NA,0,NA,AsO3C20H41,405.23498956,406.2384287550337,4.349895485592921
AsFA,AsFA418,18,NA,0,NA,AsO3C21H43,419.25063963,420.2540784645646,4.143996043589325
AsFA,AsFA432,19,NA,0,NA,AsO3C22H45,433.2662897,434.26972820667834,3.9567078783842473
AsFA,AsFA446,20,NA,0,NA,AsO3C23H47,447.28193977,448.2853779771482,3.785616690858291
AsFA,AsFA460,21,NA,0,NA,AsO3C24H49,461.29758984,462.30102777244826,3.628708458452794
AsFA,AsFA262,7,NA,1,NA,AsO3C10H19,263.06283879,264.0662781450711,8.668017946383625
AsFA,AsFA276,8,NA,1,NA,AsO3C11H21,277.07848886,278.0819275145856,7.887118388690002
AsFA,AsFA290,9,NA,1,NA,AsO3C12H23,291.09413893,292.09757699988234,7.235292689233147
AsFA,AsFA304,10,NA,1,NA,AsO3C13H25,305.109789,306.11322657444646,6.682982044117075
AsFA,AsFA318,11,NA,1,NA,AsO3C14H27,319.12543907,320.128876219285,6.2090131007060805
AsFA,AsFA332,12,NA,1,NA,AsO3C15H29,333.14108914,334.14452592043614,5.797821325871375
AsFA,AsFA346,13,NA,1,NA,AsO3C16H31,347.15673921,348.1601756674069,5.437709141131045
AsFA,AsFA360,14,NA,1,NA,AsO3C17H33,361.17238928,362.17582545215873,5.119715236938886
AsFA,AsFA374,15,NA,1,NA,AsO3C18H35,375.18803935,376.19147526842966,4.836858699044848
AsFA,AsFA388,16,NA,1,NA,AsO3C19H37,389.20368942,390.207125111269,4.583620581549075
AsFA,AsFA402,17,NA,1,NA,AsO3C20H39,403.21933949,404.2227749767114,4.355580233944206
AsFA,AsFA416,18,NA,1,NA,AsO3C21H41,417.23498956,418.2384248615431,4.14915504206266
AsFA,AsFA430,19,NA,1,NA,AsO3C22H43,431.25063963,432.254074763132,3.9614108274557616
AsFA,AsFA444,20,NA,1,NA,AsO3C23H45,445.2662897,446.269724679302,3.7899214935976633
AsFA,AsFA458,21,NA,1,NA,AsO3C24H47,459.28193977,460.2853746082379,3.6326636148820683
AsFA,AsFA260,7,NA,2,NA,AsO3C10H17,261.04718872,262.05062067633156,8.690620473030252
AsFA,AsFA274,8,NA,2,NA,AsO3C11H19,275.06283879,276.06627071231605,7.90582745417732
AsFA,AsFA288,9,NA,2,NA,AsO3C12H21,289.07848886,290.0819207539352,7.251034056547861
AsFA,AsFA302,10,NA,2,NA,AsO3C13H23,303.09413893,304.09757079989595,6.696409653901664
AsFA,AsFA316,11,NA,2,NA,AsO3C14H25,317.109789,318.1132208492729,6.220601978791974
AsFA,AsFA330,12,NA,2,NA,AsO3C15H27,331.12543907,332.12887090138616,5.807924834537095
AsFA,AsFA344,13,NA,2,NA,AsO3C16H29,345.14108914,346.14452095572494,5.446595574859743
AsFA,AsFA358,14,NA,2,NA,AsO3C17H31,359.15673921,360.1601710118983,5.127591961656062
AsFA,AsFA372,15,NA,2,NA,AsO3C18H33,373.17238928,374.1758210696017,4.843888514807226
AsFA,AsFA386,16,NA,2,NA,AsO3C19H35,387.18803935,388.1914711285944,4.589933081946839
AsFA,AsFA400,17,NA,2,NA,AsO3C20H37,401.20368942,402.20712118868386,4.36127986019427
AsFA,AsFA414,18,NA,2,NA,AsO3C21H39,415.21933949,416.22277124971384,4.154326901764866
AsFA,AsFA428,19,NA,2,NA,AsO3C22H41,429.23498956,430.2384213115565,3.9661249696964975
AsFA,AsFA442,20,NA,2,NA,AsO3C23H43,443.25063963,444.25407137410633,3.7942360978700345
AsFA,AsFA456,21,NA,2,NA,AsO3C24H45,457.2662897,458.26972143727505,3.636627402664199
AsFA,AsFA258,7,NA,3,NA,AsO3C10H15,259.03153865,260.0349631689055,8.713341183520225
AsFA,AsFA272,8,NA,3,NA,AsO3C11H17,273.04718872,274.05061387803136,7.92462549041261
AsFA,AsFA286,9,NA,3,NA,AsO3C12H19,287.06283879,288.06626448105624,7.266844068196241
AsFA,AsFA300,10,NA,3,NA,AsO3C13H21,301.07848886,302.08191500237587,6.709891330477766
AsFA,AsFA314,11,NA,3,NA,AsO3C14H23,315.09413893,316.0975654594393,6.232234198140452
AsFA,AsFA328,12,NA,3,NA,AsO3C15H25,329.109789,330.1132158650572,5.818063618207777
AsFA,AsFA342,13,NA,3,NA,AsO3C16H27,343.12543907,344.1288662288471,5.455511100975011
AsFA,AsFA356,14,NA,3,NA,AsO3C17H29,357.14108914,358.14451655816976,5.135492960532965
AsFA,AsFA370,15,NA,3,NA,AsO3C18H31,371.15673921,372.1601668587546,4.850938794362774
AsFA,AsFA384,16,NA,3,NA,AsO3C19H33,385.17238928,386.17581713512794,4.596262993303429
AsFA,AsFA398,17,NA,3,NA,AsO3C20H35,399.18803935,400.19146739091286,4.366994422826423
AsFA,AsFA412,18,NA,3,NA,AsO3C21H37,413.20368942,414.20711762904386,4.1595116708499535
AsFA,AsFA426,19,NA,3,NA,AsO3C22H39,427.21933949,428.2227678519232,3.9708503451142154
AsFA,AsFA440,20,NA,3,NA,AsO3C23H41,441.23498956,442.2384180615361,3.798560537188976
AsFA,AsFA454,21,NA,3,NA,AsO3C24H43,455.25063963,456.2540682595375,3.6405998500843975
AsFA,AsFA256,7,NA,4,NA,AsO3C10H13,257.01588858,258.01930562248884,8.73618100722085
AsFA,AsFA270,8,NA,4,NA,AsO3C11H15,271.03153865,272.03495701150246,7.943513133557565
AsFA,AsFA284,9,NA,4,NA,AsO3C12H17,285.04718872,286.0506081810689,7.282723174171701
AsFA,AsFA298,10,NA,4,NA,AsO3C13H19,299.06283879,300.06625918174717,6.723427401057187
AsFA,AsFA312,11,NA,4,NA,AsO3C14H21,313.07848886,314.0819100496728,6.2439100023451
AsFA,AsFA326,12,NA,4,NA,AsO3C15H23,327.09413893,328.09756081135873,5.8282378619431885
AsFA,AsFA340,13,NA,4,NA,AsO3C16H25,341.109789,342.11321148669856,5.46445586257497
AsFA,AsFA354,14,NA,4,NA,AsO3C17H27,355.12543907,356.1288620909108,5.1434183459533935
AsFA,AsFA368,15,NA,4,NA,AsO3C18H29,369.14108914,370.144512635836,4.858009627196886
AsFA,AsFA382,16,NA,4,NA,AsO3C19H31,383.15673921,384.16016313082497,4.602610387751942
AsFA,AsFA396,17,NA,4,NA,AsO3C20H33,397.17238928,398.1758135833601,4.372723980630885
AsFA,AsFA410,18,NA,4,NA,AsO3C21H35,411.18803935,412.1914639995001,4.1647093977126275
AsFA,AsFA424,19,NA,4,NA,AsO3C22H37,425.20368942,426.20711438420324,3.9755869939075716
AsFA,AsFA438,20,NA,4,NA,AsO3C23H39,439.21933949,440.2227647415661,3.8028948452210223
AsFA,AsFA452,21,NA,4,NA,AsO3C24H41,453.23498956,454.2384150750032,3.644580985551603
AsFA,AsFA254,7,NA,5,NA,AsO3C10H11,255.00023851,256.00364803677405,8.759140883269458
AsFA,AsFA268,8,NA,5,NA,AsO3C11H13,269.01588858,270.01930011249834,7.96249102585332
AsFA,AsFA282,9,NA,5,NA,AsO3C12H15,283.03153865,284.0349518537951,7.298671828409467
AsFA,AsFA296,10,NA,5,NA,AsO3C13H17,297.04718872,298.05060333786975,6.737018195497463
AsFA,AsFA310,11,NA,5,NA,AsO3C14H19,311.06283879,312.06625461986107,6.255629636828378
AsFA,AsFA324,12,NA,5,NA,AsO3C15H21,325.07848886,326.0819057401994,5.83844775209984
AsFA,AsFA338,13,NA,5,NA,AsO3C16H23,339.09413893,340.0975567292041,5.47343000369777
AsFA,AsFA352,14,NA,5,NA,AsO3C17H25,353.109789,354.1132076100586,5.151368230995969
AsFA,AsFA366,15,NA,5,NA,AsO3C18H27,367.12543907,368.128858400793,4.865101103317465
AsFA,AsFA380,16,NA,5,NA,AsO3C19H29,381.14108914,382.14450911564046,4.608975337824484
AsFA,AsFA394,17,NA,5,NA,AsO3C20H31,395.15673921,396.16015976598703,4.3784685927068265
AsFA,AsFA408,18,NA,5,NA,AsO3C21H33,409.17238928,410.17581036104923,4.169920130989793
AsFA,AsFA422,19,NA,5,NA,AsO3C22H35,423.18803935,424.19146090836756,3.980334956467254
AsFA,AsFA436,20,NA,5,NA,AsO3C23H37,437.20368942,438.20711141417087,3.807239055786538
AsFA,AsFA450,21,NA,5,NA,AsO3C24H39,451.21933949,452.22276188364964,3.6485708375991557
AsFA,AsFA251,7,NA,6,NA,AsO3C10H9,252.98458844,253.9879904114505,8.782221760702102
AsFA,AsFA266,8,NA,6,NA,AsO3C11H11,267.00023851,268.0036431807857,7.981559815693226
AsFA,AsFA280,9,NA,6,NA,AsO3C12H13,281.01588858,282.01929549905515,7.314690488829838
AsFA,AsFA294,10,NA,6,NA,AsO3C13H15,295.03153865,296.0349474706023,6.750664046328629
AsFA,AsFA308,11,NA,6,NA,AsO3C14H17,309.04718872,310.05059916989114,6.2673933488588185
AsFA,AsFA322,12,NA,6,NA,AsO3C15H19,323.06283879,324.0662506514872,5.848693476342379
AsFA,AsFA336,13,NA,6,NA,AsO3C16H21,337.07848886,338.081901956288,5.482433669329311
AsFA,AsFA350,14,NA,6,NA,AsO3C17H23,351.09413893,352.0975531155501,5.159342729439514
AsFA,AsFA364,15,NA,6,NA,AsO3C18H25,365.109789,366.1132041535723,4.872213313258736
AsFA,AsFA378,16,NA,6,NA,AsO3C19H27,379.12543907,380.1288550895293,4.615357916454928
AsFA,AsFA392,17,NA,6,NA,AsO3C20H29,393.14108914,394.14450593875483,4.384228318464386
AsFA,AsFA406,18,NA,6,NA,AsO3C21H31,407.15673921,408.16015671365767,4.175143919562068
AsFA,AsFA420,19,NA,6,NA,AsO3C22H33,421.17238928,422.17580742438713,3.9850942733771317
AsFA,AsFA434,20,NA,6,NA,AsO3C23H35,435.18803935,436.19145807932506,3.811593202860611
AsFA,AsFA448,21,NA,6,NA,AsO3C24H37,449.20368942,450.2071086854545,3.6525694348854785
AsFA,AsFA249,7,NA,7,NA,AsO3C10H7,250.96893837,251.97233274620427,8.805424598584358
AsFA,AsFA263,8,NA,7,NA,AsO3C11H9,264.98458844,265.98798621612883,8.00072015769671
AsFA,AsFA278,9,NA,7,NA,AsO3C12H11,279.00023851,280.00363911666784,7.330779617382012
AsFA,AsFA292,10,NA,7,NA,AsO3C13H13,293.01588858,294.01929157980237,6.764365288780356
AsFA,AsFA306,11,NA,7,NA,AsO3C14H15,307.03153865,308.034943699649,6.279201387568402
AsFA,AsFA320,12,NA,7,NA,AsO3C15H17,321.04718872,322.05059554512974,5.858975223655068
AsFA,AsFA334,13,NA,7,NA,AsO3C16H19,335.06283879,336.06624716787405,5.4914670054110655
AsFA,AsFA348,14,NA,7,NA,AsO3C17H21,349.07848886,350.0818986073218,5.1673419557684674
AsFA,AsFA362,15,NA,7,NA,AsO3C18H23,363.09413893,364.09754989412056,4.879346348085101
AsFA,AsFA376,16,NA,7,NA,AsO3C19H25,377.109789,378.11320105244596,4.621758196981723
AsFA,AsFA390,17,NA,7,NA,AsO3C20H27,391.12543907,392.12885210162466,4.390003217626721
AsFA,AsFA404,18,NA,7,NA,AsO3C21H29,405.14108914,406.1445030572919,4.180380812555315
AsFA,AsFA418,19,NA,7,NA,AsO3C22H31,419.15673921,420.1601539322327,3.9898649854154162
AsFA,AsFA432,20,NA,7,NA,AsO3C23H33,433.17238928,434.17580473700303,3.81595732057392
AsFA,AsFA446,21,NA,7,NA,AsO3C24H35,447.18803935,448.1914554803953,3.6565768061947592
AsFA,AsFA247,7,NA,8,NA,AsO3C10H5,248.9532883,249.9566750407181,8.828750366144135
AsFA,AsFA261,8,NA,8,NA,AsO3C11H7,262.96893837,263.9723292182901,8.01997271278418
AsFA,AsFA275,9,NA,8,NA,AsO3C12H9,276.98458844,277.98798270645034,7.3469396800884965
AsFA,AsFA290,10,NA,8,NA,AsO3C13H11,291.00023851,292.0036356653265,6.7781222608094005
AsFA,AsFA304,11,NA,8,NA,AsO3C14H13,305.01588858,306.01928820901986,6.291054003970163
AsFA,AsFA318,12,NA,8,NA,AsO3C15H15,319.03153865,320.0349404210337,5.869293184353422
AsFA,AsFA332,13,NA,8,NA,AsO3C16H17,333.04718872,334.05059236388547,5.500530158847956
AsFA,AsFA346,14,NA,8,NA,AsO3C17H19,347.06283879,348.0662440853098,5.175366025178389
AsFA,AsFA360,15,NA,8,NA,AsO3C18H21,361.07848886,362.0818956223839,4.8865002993950295
AsFA,AsFA374,16,NA,8,NA,AsO3C19H23,375.09413893,376.09754700434473,4.628176253150669
AsFA,AsFA388,17,NA,8,NA,AsO3C20H25,389.109789,390.11319825455723,4.395793350232074
AsFA,AsFA402,18,NA,8,NA,AsO3C21H27,403.12543907,404.12884939191804,4.185630859342183
AsFA,AsFA416,19,NA,8,NA,AsO3C22H29,417.14108914,418.14450043187486,3.994647133555816
AsFA,AsFA430,20,NA,8,NA,AsO3C23H31,431.15673921,432.16015138717904,3.8203314432136404
AsFA,AsFA444,21,NA,8,NA,AsO3C24H33,445.17238928,446.1758022684493,3.6605929804376527
AsHC,AsHC304,13,NA,0,NA,AsOC15H33,305.18256002,306.1860032431398,5.803262706679402
